trn_site,test_site,share_encoder,no_mode,int_mode,threshold,s_l,value
Site_5,Site_24,False,False,False,1.0,l,0.8837389945983887
Site_5,Site_24,False,False,False,2.0,s,0.822494626045227
Site_5,Site_24,False,False,False,2.0,l,0.9178847074508667
Site_5,Site_24,False,False,False,3.0,s,0.8514991998672485
Site_5,Site_24,False,False,False,3.0,l,0.9551671147346497
Site_5,Site_24,False,False,False,4.0,s,0.8693116307258606
Site_5,Site_24,False,False,False,4.0,l,0.9703154563903809
Site_5,Site_24,False,False,False,5.0,s,0.8841007351875305
Site_5,Site_24,False,False,False,5.0,l,0.9780850410461426
Site_24,Site_26,False,False,True,0.5,s,0.30288395285606384
Site_24,Site_26,False,False,True,0.5,l,1.0244061946868896
Site_24,Site_26,False,False,True,1.0,s,0.2533820867538452
Site_24,Site_26,False,False,True,1.0,l,0.9928557276725769
Site_24,Site_26,False,False,True,2.0,s,0.24461448192596436
Site_24,Site_26,False,False,True,2.0,l,1.0035146474838257
Site_24,Site_26,False,False,True,3.0,s,0.24473819136619568
Site_24,Site_26,False,False,True,3.0,l,
Site_24,Site_26,False,False,True,4.0,s,0.2380216270685196
Site_24,Site_26,False,False,True,4.0,l,
Site_24,Site_26,False,False,True,5.0,s,0.2326095551252365
Site_24,Site_26,False,False,True,5.0,l,
Site_24,Site_26,False,True,False,0.5,s,0.32977497577667236
Site_24,Site_26,False,True,False,0.5,l,1.0105255842208862
Site_24,Site_26,False,True,False,1.0,s,0.27467402815818787
Site_24,Site_26,False,True,False,1.0,l,1.0352126359939575
Site_24,Site_26,False,True,False,2.0,s,0.2508680820465088
Site_24,Site_26,False,True,False,2.0,l,0.8802450299263
Site_24,Site_26,False,True,False,3.0,s,0.24361348152160645
Site_24,Site_26,False,True,False,3.0,l,
Site_24,Site_26,False,True,False,4.0,s,0.22275912761688232
Site_24,Site_26,False,True,False,4.0,l,
Site_24,Site_26,False,True,False,5.0,s,0.21490177512168884
Site_24,Site_26,False,True,False,5.0,l,
Site_23,Site_5,True,False,True,0.5,s,0.3221201002597809
Site_23,Site_5,True,False,True,0.5,l,0.9734161496162415
Site_23,Site_5,True,False,True,1.0,s,0.32392725348472595
Site_23,Site_5,True,False,True,1.0,l,0.9825729727745056
Site_23,Site_5,True,False,True,2.0,s,0.31411075592041016
Site_23,Site_5,True,False,True,2.0,l,
Site_23,Site_5,True,False,True,3.0,s,0.3114154636859894
Site_23,Site_5,True,False,True,3.0,l,
Site_23,Site_5,True,False,True,4.0,s,0.3026297390460968
Site_23,Site_5,True,False,True,4.0,l,
Site_23,Site_5,True,False,True,5.0,s,
Site_23,Site_5,True,False,True,5.0,l,
Site_25,Site_24,True,True,False,0.5,s,0.1540834903717041
Site_25,Site_24,True,True,False,0.5,l,0.33847951889038086
Site_25,Site_24,True,True,False,1.0,s,0.1450207382440567
Site_25,Site_24,True,True,False,1.0,l,0.24808599054813385
Site_25,Site_24,True,True,False,2.0,s,0.13328425586223602
Site_25,Site_24,True,True,False,2.0,l,0.19308790564537048
Site_25,Site_24,True,True,False,3.0,s,0.13105931878089905
Site_25,Site_24,True,True,False,3.0,l,0.18008366227149963
Site_25,Site_24,True,True,False,4.0,s,0.1314547210931778
Site_25,Site_24,True,True,False,4.0,l,0.18081675469875336
Site_25,Site_24,True,True,False,5.0,s,0.1292383223772049
Site_25,Site_24,True,True,False,5.0,l,0.19246834516525269
Site_1,Site_26,False,False,False,0.5,s,0.3671777546405792
Site_1,Site_26,False,False,False,0.5,l,0.9997239112854004
Site_1,Site_26,False,False,False,1.0,s,0.3213525116443634
Site_1,Site_26,False,False,False,1.0,l,1.0033525228500366
Site_1,Site_26,False,False,False,2.0,s,0.31464430689811707
Site_1,Site_26,False,False,False,2.0,l,1.0001575946807861
Site_1,Site_26,False,False,False,3.0,s,0.3322831094264984
Site_1,Site_26,False,False,False,3.0,l,
Site_1,Site_26,False,False,False,4.0,s,0.3624064028263092
Site_1,Site_26,False,False,False,4.0,l,
Site_1,Site_26,False,False,False,5.0,s,0.37554773688316345
Site_1,Site_26,False,False,False,5.0,l,
Site_23,Site_5,False,False,True,0.5,s,0.3171425759792328
Site_23,Site_5,False,False,True,0.5,l,1.00299870967865
Site_23,Site_5,False,False,True,1.0,s,0.3020980656147003
Site_23,Site_5,False,False,True,1.0,l,1.004351019859314
Site_23,Site_5,False,False,True,2.0,s,0.2758176028728485
Site_23,Site_5,False,False,True,2.0,l,
Site_23,Site_5,False,False,True,3.0,s,0.27488043904304504
Site_23,Site_5,False,False,True,3.0,l,
Site_23,Site_5,False,False,True,4.0,s,0.23339968919754028
Site_23,Site_5,False,False,True,4.0,l,
Site_23,Site_5,False,False,True,5.0,s,
Site_23,Site_5,False,False,True,5.0,l,
Site_1,Site_26,False,True,False,0.5,s,0.3291865289211273
Site_1,Site_26,False,True,False,0.5,l,0.9949191212654114
Site_1,Site_26,False,True,False,1.0,s,0.30566659569740295
Site_1,Site_26,False,True,False,1.0,l,0.9977264404296875
Site_1,Site_26,False,True,False,2.0,s,0.30535900592803955
Site_1,Site_26,False,True,False,2.0,l,0.9964987635612488
Site_1,Site_26,False,True,False,3.0,s,0.3202073574066162
Site_1,Site_26,False,True,False,3.0,l,
Site_1,Site_26,False,True,False,4.0,s,0.33452078700065613
Site_1,Site_26,False,True,False,4.0,l,
Site_1,Site_26,False,True,False,5.0,s,0.3428732752799988
Site_1,Site_26,False,True,False,5.0,l,
Site_1,Site_23,False,True,False,0.5,s,0.17277324199676514
Site_1,Site_23,False,True,False,0.5,l,0.25479522347450256
Site_1,Site_23,False,True,False,1.0,s,0.16390323638916016
Site_1,Site_23,False,True,False,1.0,l,0.20270586013793945
